ContrastName	GenomeName
Opossum_Kidney-Liver	Opossum_UCSC.monDom5_ensvUnknown
Opossum_Kidney-Ovary	Opossum_UCSC.monDom5_ensvUnknown
Opossum_Kidney-Testis	Opossum_UCSC.monDom5_ensvUnknown
Opossum_Liver-Ovary	Opossum_UCSC.monDom5_ensvUnknown
Opossum_Liver-Testis	Opossum_UCSC.monDom5_ensvUnknown
Opossum_Ovary-Testis	Opossum_UCSC.monDom5_ensvUnknown
Rabbit_Brain-Cerebellum	Rabbit_UCSC.oryCun2_ensv101
Rabbit_Brain-Heart	Rabbit_UCSC.oryCun2_ensv101
Rabbit_Brain-Kidney	Rabbit_UCSC.oryCun2_ensv101
Rabbit_Brain-Liver	Rabbit_UCSC.oryCun2_ensv101
Rabbit_Brain-Ovary	Rabbit_UCSC.oryCun2_ensv101
Rabbit_Brain-Testis	Rabbit_UCSC.oryCun2_ensv101
Rabbit_Cerebellum-Heart	Rabbit_UCSC.oryCun2_ensv101
Rabbit_Cerebellum-Kidney	Rabbit_UCSC.oryCun2_ensv101
Rabbit_Cerebellum-Liver	Rabbit_UCSC.oryCun2_ensv101
Rabbit_Cerebellum-Ovary	Rabbit_UCSC.oryCun2_ensv101
Rabbit_Cerebellum-Testis	Rabbit_UCSC.oryCun2_ensv101
Rabbit_Heart-Kidney	Rabbit_UCSC.oryCun2_ensv101
Rabbit_Heart-Liver	Rabbit_UCSC.oryCun2_ensv101
Rabbit_Heart-Ovary	Rabbit_UCSC.oryCun2_ensv101
Rabbit_Heart-Testis	Rabbit_UCSC.oryCun2_ensv101
Rabbit_Kidney-Liver	Rabbit_UCSC.oryCun2_ensv101
Rabbit_Kidney-Ovary	Rabbit_UCSC.oryCun2_ensv101
Rabbit_Kidney-Testis	Rabbit_UCSC.oryCun2_ensv101
Rabbit_Liver-Ovary	Rabbit_UCSC.oryCun2_ensv101
Rabbit_Liver-Testis	Rabbit_UCSC.oryCun2_ensv101
Rabbit_Ovary-Testis	Rabbit_UCSC.oryCun2_ensv101
Rat_Brain-Cerebellum	Rat_UCSC.rn7_RefSeqv108
Rat_Brain-Heart	Rat_UCSC.rn7_RefSeqv108
Rat_Brain-Kidney	Rat_UCSC.rn7_RefSeqv108
Rat_Brain-Liver	Rat_UCSC.rn7_RefSeqv108
Rat_Brain-Ovary	Rat_UCSC.rn7_RefSeqv108
Rat_Brain-Testis	Rat_UCSC.rn7_RefSeqv108
Rat_Cerebellum-Heart	Rat_UCSC.rn7_RefSeqv108
Rat_Cerebellum-Kidney	Rat_UCSC.rn7_RefSeqv108
Rat_Cerebellum-Liver	Rat_UCSC.rn7_RefSeqv108
Rat_Cerebellum-Ovary	Rat_UCSC.rn7_RefSeqv108
Rat_Cerebellum-Testis	Rat_UCSC.rn7_RefSeqv108
Rat_Heart-Kidney	Rat_UCSC.rn7_RefSeqv108
Rat_Heart-Liver	Rat_UCSC.rn7_RefSeqv108
Rat_Heart-Ovary	Rat_UCSC.rn7_RefSeqv108
Rat_Heart-Testis	Rat_UCSC.rn7_RefSeqv108
Rat_Kidney-Liver	Rat_UCSC.rn7_RefSeqv108
Rat_Kidney-Ovary	Rat_UCSC.rn7_RefSeqv108
Rat_Kidney-Testis	Rat_UCSC.rn7_RefSeqv108
Rat_Liver-Ovary	Rat_UCSC.rn7_RefSeqv108
Rat_Liver-Testis	Rat_UCSC.rn7_RefSeqv108
Rat_Ovary-Testis	Rat_UCSC.rn7_RefSeqv108
