ContrastName	GenomeName
BeforeB_vs_AfterB.Kidney.Macaque	Macaque_UCSC.rheMac10_ensv101
BeforeB_vs_AfterB.Testis.Macaque	Macaque_UCSC.rheMac10_ensv101
BeforeB_vs_AfterB.Liver.Macaque	Macaque_UCSC.rheMac10_ensv101
BeforeB_vs_AfterB.Brain.Macaque	Macaque_UCSC.rheMac10_ensv101
BeforeB_vs_AfterB.Heart.Human	Human_UCSC.hg38_GencodeComprehensive46
BeforeB_vs_AfterB.Kidney.Human	Human_UCSC.hg38_GencodeComprehensive46
BeforeB_vs_AfterB.Cerebellum.Human	Human_UCSC.hg38_GencodeComprehensive46
BeforeB_vs_AfterB.Liver.Human	Human_UCSC.hg38_GencodeComprehensive46
BeforeB_vs_AfterB.Brain.Human	Human_UCSC.hg38_GencodeComprehensive46
BeforeB_vs_AfterB.Testis.Human	Human_UCSC.hg38_GencodeComprehensive46
BeforeB_vs_AfterB.Brain.Opossum	Opossum_UCSC.monDom5_ensvUnknown
BeforeB_vs_AfterB.Heart.Opossum	Opossum_UCSC.monDom5_ensvUnknown
BeforeB_vs_AfterB.Cerebellum.Opossum	Opossum_UCSC.monDom5_ensvUnknown
BeforeB_vs_AfterB.Liver.Opossum	Opossum_UCSC.monDom5_ensvUnknown
BeforeB_vs_AferS.Heart.Chicken	Chicken_UCSC.galGal6_ensv101
BeforeB_vs_AferS.Kidney.Chicken	Chicken_UCSC.galGal6_ensv101
BeforeB_vs_AferS.Liver.Chicken	Chicken_UCSC.galGal6_ensv101
BeforeB_vs_AferS.Cerebellum.Chicken	Chicken_UCSC.galGal6_ensv101
BeforeB_vs_AferS.Testis.Chicken	Chicken_UCSC.galGal6_ensv101
BeforeB_vs_AferS.Brain.Chicken	Chicken_UCSC.galGal6_ensv101
BeforeB_vs_AferS.Ovary.Chicken	Chicken_UCSC.galGal6_ensv101
BeforeB_vs_AferS.Heart.Rabbit	Rabbit_UCSC.oryCun2_ensv101
BeforeB_vs_AferS.Ovary.Rabbit	Rabbit_UCSC.oryCun2_ensv101
